Step ID (For Dependency List),Center/Home,Phase,Step,Provider Type,Department,Description,Dependency,Cost,Time to Complete,Processing Time,Renewal,Link to Forms,Level (NYC Home-based specific)
CP1,Center,1. Determine Care Type ,Determine license type,,DOHMH,"Center-Based Day Care offers childcare for 3+ kids under six years of age. Center-based childcare prorams are run out of non-home facilities. This care is for more than five hours per week per child, for at least 30+ days per year",,,,,,,city
CP2,Center,2. Process Initiation,Create an NYC ID ,,DOHMH,Create an ID with the NYC Health Department (routine identification information). ,CP1,0,0.1 hours,Immediate,none,https://www1.nyc.gov/account/register.htm?showNameFields=True&target=aHR0cHM6Ly9hODE2LWhsc3QubnljLmdvdi9DaXRpemVuQWNjZXNzLy9TQU1ML05ZQ0lETG9naW4uYXNweD9Gcm9tPXJlZ2lzdHJhdGlvbg==&emailAddress=&disableEmail=False&firstName=&middleInitial=&lastName=&fromKiosk=false,city
CP3,Center,2. Process Initiation,Attend Pre-Permit Orientation Session,,DOHMH,Attend a pre-permit orientation session at your local Borough Office to receive a completion certificate number. ,CP2,0,1 hour,0-4 weeks,none,https://a816-healthpsi.nyc.gov/OnlineRegistration/dohmh/DOHMHService.action,city
CP4,Center,5. Facility Inspection,Alarm System and Sprinkler System installation,,FDNY,"Install alarm and sprinkler systems (if required, following specific city requirements) previously approved by FDNY.",,"20,000+",1 hour ,3 - 6 months,1 year,,city
CP5,Center,5. Facility Inspection,Emergency Safety Plan,,"DOB, FDNY, DOHMH",Ensure facility has proper emergency safety plan. ,,0,5 hours,Immediate,1 year,,city
CP6,Center,5. Facility Inspection,Department of Buildings Certification,,DOB,Obtain DOB certification for site renovations/changes. This assumes possession of official architectural plans for the facility. ,,130 - 500,1 hour ,1 - 3 months,none,https://www.nyc.gov/site/buildings/industry/filing-permit-applications.page,city
CP7,Center,5. Facility Inspection,Fire Department Approval,,FDNY,Obtain FDNY approval for site renovations/construction. Requirements vary by building specifics. ,"CP4, CP5",600,1 hour ,2-4 weeks,"depends, see specifics",https://www.nyc.gov/site/fdny/business/all-certifications/permits.page,city
CP8,Center,5. Facility Inspection,Lead Water Testing,,Private ,"Obtain a private provider to verify that the facility's water supply is not contaminated, ",,150 - 800,3 hours,.5 - 2 weeks,5 years,,city
CP9,Center,5. Facility Inspection,Lead Paint Testing,,DOHMH,Submit an application for lead paint testing to your Local Borough Office of DOHMH. ,,0,30 minutes,.5 - 2 weeks,1 year,https://www.nyc.gov/assets/doh/downloads/pdf/lead/gdc-annual-survey-form.pdf,city
CP10 ,Center,5. Facility Inspection,Lead Soil Testing,,Private ,Obtain a private provider to verify that the soil outside/around your facility is not contaminated,,10 - 500,30 minutes,.5 - 2 weeks,none,,city
CP11,Center,5. Facility Inspection,Site Viability Checklist,,"DOHMH, FDNY, DOB",Ensure building passes all site requirements and make changes if necessary. ,"CP6, CP7, CP8, CP9, CP10",0,30 minutes,Immediate,none,https://www.nyc.gov/assets/doh/downloads/pdf/dc/dc-applicant-site-viability-checklist.pdf,city
CP12,Center,5. Facility Inspection,Site Viability Inspection Application,,DOHMH,Fill out application for site viability inspection by a city employee. ,"CP3, CP11",0,5 minutes,Immediate,none,http://www1.nyc.gov/assets/doh/downloads/pdf/dc/GDC-Site-Inspection-Request.pdf,city
CP13,Center,4. Staff Preparation,Staff Immunizations and Medical Records,,DOHMH,Ensure all staff members have necessary immunizations and have provided medical records from the last 2 years. ,,0,30 minutes,1 week,2 years,https://www.nyc.gov/site/doh/business/permits-and-licenses/child-care-school-based-health-code.page,city
CP14,Center,4. Staff Preparation,Staff Fingerprinting,,DOHMH,Obtain fingerprints for all staff members at DOHMH's IdenToGo fingerprint locations.,,110 per employee,30 minutes,Immediate,5 years,https://www.nyc.gov/site/doi/offices/fingerprint-unit.page,city
CP15,Center,4. Staff Preparation,Staff Background Checks,,DOI,Ensure all staff members obtain the necessary clearance of criminal history and the Statewide Central Register of Child Abuse and Maltreatment.,,0,30 minutes,1 week,2 years ,https://www.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf#page=16,city
CT1,Center,4. Staff Preparation,Ensure all staff have proper trainings ,,DOHMH,Ensure that all groups of children are properly monitored by sufficiently-trained staff. ,,0,1 - 20 hours,Immediate,depends,https://www.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf#page=15,city
CP16,Center,6. Compliance,Verify General Compliance,,DOHMH,Verify that all extraneous requirements in policy and facility guidelines are being followed. ,"CP12, CP13, CP14, CP15, CT1",0,1 hour,Immediate,none,http://www1.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf,
CP17,Center,6. Compliance,Obtain Food Protection Certificate,,DOHMH,Obtain Food Protection Certificate for at least one supervising manager.,,114,1 hour,Immediate,,,
CA1,Center,3. Application,Complete Group Child Care Application,,DOHMH,"Complete online application using all previous documents, certificates, etc. ","CP16, CP17",200,1 hour,Immediate,2 years,https://nyc-business.nyc.gov/nycbusiness/description/group-child-care-center-permit,
CR1,Center,7. Post-Application,Create Aspire Account,,DOHMH,Create an account on the Aspire Registry to be accessible alongside all other Group Child Care facilities. ,CA1,0,0,Immediate,,https://www.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf#page=16,city
1,Home,1. Determine Care Type ,Determine license type,FCC,OCFS,"Family Day Care offers child care in a family home. This care is for more than three hours per day per child. It can include:

Three to six children, ages six weeks to 12 years
Plus two more school-age children
One staff member can care for:

Up to six children younger than school age
Eight children if at least two are school-aged
There must always be one caregiver for every two children under the age of two.",,,,,,,state
2,Home,1. Determine Care Type ,Determine license type,GFCC,OCFS,"Group Family Day Care is child care in a family home on a regular basis. It lasts more than three hours per day per child. This care can include:

Seven to 12 children, ages six weeks to 12 years
Four more school-age children
A primary on-site provider runs a Group Family Day Care.

Caregiver requirements
One caregiver can care for up to six children younger than school age.
They can care for eight children if at least two of them are school-aged.
Two caregivers must be present when more than six children, none of whom are school age, are in care.
There must be at least one caregiver for every two children under the age of two years.",,,,,,,state
3,Home,2. Process Initiation,Complete the Child Day Care Orientation,"GFCC, FCC",OCFS,Log-in to New York State Office of Child and Family Services portal to complete.,"1,2",0,1.5,,,https://ocfs.ny.gov/programs/childcare/providers/cdc-orientation.php,state
4,Home,2. Process Initiation,Request application,"GFCC, FCC",OCFS,"After completing orientation, request an application in New York State Office of Child and Family Services portal. .",3,,,,,https://www.pdp.albany.edu/ccfs/,state
5,Home,2. Process Initiation,Contact a Regional Office or Child Care Resource and Referral (CCRR) agency,"GFCC, FCC",OCFS,Optional: OCFS Regional Offices can provide application materials and information about the process of starting a program. Child Care Resource and Referral Agencies (CCRR) also provide start-up information and information on funding eligibility.,4,,,,,,state
6,Home,3. Application,Submit application,"GFCC, FCC",OCFS,"Once your application has been submitted and reviewed, a representative from OCFS will complete an inspection.  If your daycare business is approved, then a license or registration will be mailed to you.",4,,,,,https://www.pdp.albany.edu/ccfs/,state
7,Home,4. Staff Preparation,Attend pre-licensing Health and Safety Training,"GFCC, FCC",OCFS,"To ensure that new providers are prepared for this responsibility, they must complete health and safety training approved by the Office of Children and Family Services (OCFS). ",6,,15,,,"https://www.ecetp.pdp.albany.edu/about_health_safety.aspx
Find Training",state
8,Home,4. Staff Preparation,Complete and submit OCFS-4930 for background check and fingerprinting.,"GFCC, FCC",DOI,"To initiate the comprehensive background check process, individuals must follow the instructions on the OCFS-4930 form to schedule a fingerprinting appointment. For staff who have already been fingerprinted for day care under the CCDBG requirements and have not had a break in service for more than 180 days, complete the Request for a Waiver to initiate the process.",6,100,,30-45 days,,"CCDBG Background Checks | Division of Child Care Services
OCFS-4930
OCFS-6000
Waiver if previously fingerprinted",state and federal
9,Home,4. Staff Preparation,Complete and submit OCFS-6000 to program provider/director.,"GFCC, FCC",DOI,All staff must submit a completed OCFS-6000 packet to their program’s provider/director.,6,100,,30-45 days,,"CCDBG Background Checks | Division of Child Care Services
OCFS-4930
OCFS-6000
Waiver if previously fingerprinted",state and federal
10,Home,4. Staff Preparation,Complete training,"GFCC, FCC",OCFS,Complete 30 hours of training in ten topic areas every two years. You must finish 15 of these hours within the first six months of employment.,6,,30 hours,,yes,,state
11,Home,4. Staff Preparation,Complete Foundations in Health and Safety e-learning,"GFCC, FCC",OCFS,"5-hour e-learning course “Foundations in Health and Safety.” Required pre-service or within three (3) months of start date.
 or
15-hour classroom training “Health and Safety: Competencies for Becoming a Family or Group Family Day Care Provider.“ Required pre-service or within three (3) months of start date.",6,,5-15 hours,,,,state
12,Home,4. Staff Preparation,Arrange CPR and First Aid certification,"GFCC, FCC",multiple,Each program must have at least one (1) person on site who is certified in CPR/First Aid during all hours of operation. ,6,40-125,3-5 hours,,yes,,state
13,Home,4. Staff Preparation,Complete Medication Administration Training (MAT),"GFCC, FCC",,Optional except for programs that choose to administer medications or as otherwise required.,6,80-300,8 hours,,yes,https://www.ecetp.pdp.albany.edu/mat.aspx,state
14,Home,7. Post-Application,Receive registration,"GFCC, FCC",OCFS,"The initial registration period for a Family Day Care program is two years.
After that, the renewal registration is effective for four years.
Providers must follow the Office of Children and Family Services (OCFS) regulations and all laws that apply.","6,7,8,9,10,11,12 ",,,8-16 weeks,,,state
