Step ID (For Dependency List),Center/Home,Phase,Step,Provider Type,Department,Description,Dependency,Cost,Time to Complete,Processing Time,Renewal,Link to Forms,Level (NYC Home-based specific)
HP1,Home,Care Type ,Determine license type,FCC,OCFS,"Family Day Care offers child care in a family home. This care is for more than three hours per day per child. It can include:

Three to six children, ages six weeks to 12 years
Plus two more school-age children
One staff member can care for:

Up to six children younger than school age
Eight children if at least two are school-aged
There must always be one caregiver for every two children under the age of two.",,,,,,,state
HP2,Home,Care Type ,Determine license type,GFCC,OCFS,"Group Family Day Care is child care in a family home on a regular basis. It lasts more than three hours per day per child. This care can include:

Seven to 12 children, ages six weeks to 12 years
Four more school-age children
A primary on-site provider runs a Group Family Day Care.

Caregiver requirements
One caregiver can care for up to six children younger than school age.
They can care for eight children if at least two of them are school-aged.
Two caregivers must be present when more than six children, none of whom are school age, are in care.
There must be at least one caregiver for every two children under the age of two years.",,,,,,,state
CP1,Center,Care Type ,Determine license type,,DOHMH,"Center-Based Day Care offers childcare for 3+ kids under six years of age. Center-based childcare prorams are run out of non-home facilities. This care is for more than five hours per week per child, for at least 30+ days per year",,,,,,,city
CP2,Center,Process Initiation,Create an NYC ID ,,DOHMH,Create an ID with the NYC Health Department (routine identification information). ,CP1,0,0.1 hours,Immediate,none,https://www1.nyc.gov/account/register.htm?showNameFields=True&target=aHR0cHM6Ly9hODE2LWhsc3QubnljLmdvdi9DaXRpemVuQWNjZXNzLy9TQU1ML05ZQ0lETG9naW4uYXNweD9Gcm9tPXJlZ2lzdHJhdGlvbg==&emailAddress=&disableEmail=False&firstName=&middleInitial=&lastName=&fromKiosk=false,city
CP3,Center,Process Initiation,Attend Pre-Permit Orientation Session,,DOHMH,Attend a pre-permit orientation session at your local Borough Office to receive a completion certificate number. ,CP2,0,1 hour,0-4 weeks,none,https://a816-healthpsi.nyc.gov/OnlineRegistration/dohmh/DOHMHService.action,city
CP4,Center,Facility Inspection,Alarm System and Sprinkler System installation,,FDNY,"Install alarm and sprinkler systems (if required, following specific city requirements) previously approved by FDNY.",,"20,000+",1 hour ,3 - 6 months,1 year,,city
CP5,Center,Facility Inspection,Emergency Safety Plan,,"DOB, FDNY, DOHMH",Ensure facility has proper emergency safety plan. ,,0,5 hours,Immediate,1 year,,city
CP6,Center,Facility Inspection,Department of Buildings Certification,,DOB,Obtain DOB certification for site renovations/changes. This assumes possession of official architectural plans for the facility. ,,130 - 500,1 hour ,1 - 3 months,none,https://www.nyc.gov/site/buildings/industry/filing-permit-applications.page,city
CP7,Center,Facility Inspection,Fire Department Approval,,FDNY,Obtain FDNY approval for site renovations/construction. Requirements vary by building specifics. ,"CP4, CP5",600,1 hour ,2-4 weeks,"depends, see specifics",https://www.nyc.gov/site/fdny/business/all-certifications/permits.page,city
CP8,Center,Facility Inspection,Lead Water Testing,,Private ,"Obtain a private provider to verify that the facility's water supply is not contaminated, ",,150 - 800,3 hours,.5 - 2 weeks,5 years,,city
